metric_id,required_fields,source_family_compatibility,determinism,current_availability,semantic_risk,ai_phrasing_allowed,ai_phrasing_forbidden,formula_or_description
change,"[""last_price"", ""previous_close""]","[""TWSE_MIS"", ""TWSE_OpenAPI"", ""TPEx_OpenAPI""]",deterministic_arithmetic,not_currently_available_for_live,medium_delayed_or_reference_only,price difference,signal/recommendation,last minus previous close; descriptive only
change_percent,"[""last_price"", ""previous_close""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,medium_delayed_or_reference_only,percentage move versus reference,momentum call,change / previous close
range,"[""high"", ""low""]","[""TWSE_MIS"", ""TWSE_OpenAPI"", ""TPEx_OpenAPI"", ""Yahoo_Finance""]",deterministic_arithmetic,available_eod_not_live_exposed,medium_delayed_or_reference_only,observed range,support/resistance as fact,high minus low
range_percent,"[""high"", ""low"", ""previous_close""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,medium_delayed_or_reference_only,range relative to reference,volatility prediction,range / previous close
position_in_day_range,"[""last_price"", ""high"", ""low""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,medium_delayed_or_reference_only,location within observed day range,entry/exit,(last-low)/(high-low)
distance_from_high_percent,"[""last_price"", ""high""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,medium_delayed_or_reference_only,distance from observed high,resistance,(last-high)/high
distance_from_low_percent,"[""last_price"", ""low""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,medium_delayed_or_reference_only,distance from observed low,support,(last-low)/low
change_from_open_percent,"[""last_price"", ""open""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,medium_delayed_or_reference_only,change from open,trade setup,(last-open)/open
spread,"[""best_ask"", ""best_bid""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,high_trading_interpretation_risk,displayed spread snapshot,liquidity guarantee,best ask minus best bid
spread_percent,"[""best_ask"", ""best_bid"", ""last_price""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,high_trading_interpretation_risk,displayed spread percent,execution cost guarantee,spread / last
top5_bid_volume,"[""bid_volumes""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,high_trading_interpretation_risk,observed displayed bid depth,institutional flow,sum displayed bid volumes
top5_ask_volume,"[""ask_volumes""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,high_trading_interpretation_risk,observed displayed ask depth,institutional flow,sum displayed ask volumes
top5_displayed_bid_ask_ratio,"[""bid_volumes"", ""ask_volumes""]","[""TWSE_MIS""]",deterministic_arithmetic,not_currently_available_for_live,high_trading_interpretation_risk,displayed depth balance,chip flow,top bid volume / top ask volume
watchlist_advancers_count,"[""change""]","[""M5N_watchlist_conversation_handoff""]",deterministic_arithmetic,candidate_after_M7A,medium_delayed_or_reference_only,bounded watchlist advancers,ranking,count change > 0
watchlist_decliners_count,"[""change""]","[""M5N_watchlist_conversation_handoff""]",deterministic_arithmetic,candidate_after_M7A,medium_delayed_or_reference_only,bounded watchlist decliners,ranking,count change < 0
watchlist_unchanged_count,"[""change""]","[""M5N_watchlist_conversation_handoff""]",deterministic_arithmetic,candidate_after_M7A,medium_delayed_or_reference_only,bounded watchlist unchanged,ranking,count change == 0
watchlist_unavailable_count,"[""status""]","[""M5N_watchlist_conversation_handoff""]",deterministic_arithmetic,currently_possible,medium_delayed_or_reference_only,unavailable observations,quality hidden,count unavailable rows
cross_instrument_change_diff,"[""change_percent""]","[""TWSE_MIS"", ""TAIFEX_MIS""]",deterministic_arithmetic,candidate_after_M7A,medium_delayed_or_reference_only,bounded cross-instrument difference,relative value recommendation,difference between two observed changes
