risk_id,authoritative_owner,included_in_fast,included_in_default_ci,included_in_full_non_network,operator_preflight_owner,browser_e2e_owner,bounded_live_owner,decision_reason
canonical_not_mutated,tests/unit/test_m5f_canonical_market_context_package.py,false,true,true,python scripts/run_m6e_operator_acceptance.py --check-only,, ,Canonical package owner is retained in DEFAULT_CI and FULL_NON_NETWORK; FAST omits large canonical family.
observation_not_canonical,tests/unit/test_m5k_workflow.py,true,true,true,python scripts/run_m6e_operator_acceptance.py --check-only,,python scripts/run_m6g_browser_operator_e2e.py --execute-bounded-live-check,Core observation separation is high-signal and included in FAST/DEFAULT_CI.
bounded_watchlist_only,tests/unit/test_m5k_workflow.py,true,true,true,,python scripts/run_m6g_browser_operator_e2e.py --check-only,python scripts/run_m6g_browser_operator_e2e.py --execute-bounded-live-check,Bounded scope is protected by unit contracts and browser/operator routing.
no_full_market_scan,tests/unit/test_m5k_workflow.py,true,true,true,python scripts/run_m6e_operator_acceptance.py --check-only,,python scripts/run_m6g_browser_operator_e2e.py --execute-bounded-live-check,No full-market scan remains a merge-protection owner.
no_trading_semantics,python scripts/forbidden_behavior_scanner.py,true,true,true,python scripts/forbidden_behavior_scanner.py,python scripts/run_m6g_browser_operator_e2e.py --check-only,,Scanner and UI guard stay in FAST/DEFAULT_CI.
raw_payload_not_exposed,python scripts/forbidden_behavior_scanner.py,true,true,true,python scripts/run_operator_preflight.py --json --timeout-seconds 300,,,Scanner plus M5K/M5N contracts remain selected.
frontend_public_not_written,tests/unit/test_no_frontend_public_write_guard.py,true,true,true,python scripts/governance_forbidden_path_guard.py,,,Path guard remains selected and operator preflight routes authoritative guard.
ssl_strict_default,tests/unit/test_m6d_ssl_policy.py,true,true,true,,python scripts/run_m6g_browser_operator_e2e.py --check-only,python scripts/run_m6g_browser_operator_e2e.py --execute-bounded-live-check,TLS policy unit owner remains in FAST/DEFAULT_CI.
ssl_policy_precedence,tests/unit/test_server.py,true,true,true,,python scripts/run_m6g_browser_operator_e2e.py --check-only,python scripts/run_m6g_browser_operator_e2e.py --execute-bounded-live-check,FastAPI query/env precedence remains selected.
invalid_ssl_policy_fail_closed,tests/unit/test_m6d_operator_and_local_networking.py,true,true,true,python scripts/run_m6e_operator_acceptance.py --check-only,python scripts/run_m6g_browser_operator_e2e.py --check-only,,Invalid TLS policy fail-closed owner remains selected.
fastapi_execute_confirmation,tests/unit/test_server.py,true,true,true,,python scripts/run_m6g_browser_operator_e2e.py --check-only,python scripts/run_m6g_browser_operator_e2e.py --execute-bounded-live-check,FastAPI explicit confirmation remains selected.
mcp_fail_closed,tests/unit/test_mcp_server.py,true,true,true,python server/mcp_server.py --startup-check,,,MCP fail-closed and startup check remain selected.
ci_gate_preservation,docs/reviews/m6k_ci_gate_migration_matrix.csv,false,false,true,python scripts/run_test_profile.py operator-preflight --json,,,.Legacy standalone acceptance gates are preserved in FULL_NON_NETWORK rather than assumed covered by DEFAULT_CI pytest.
windows_compatibility_smoke,.github/workflows/windows-compatibility-smoke.yml,false,false,true,python server/mcp_server.py --startup-check,,,.Windows compatibility smoke is restored as manual or label-gated non-network validation with strict TLS defaults.
